step strain stress33
78600 0.0786 1931709718.25731
78700 0.0787 1934010476.71868
78800 0.0788 1936483648.33432
78900 0.0789 1939057607.26243
79000 0.079 1941655352.67956
79100 0.0791 1944216278.57494
79200 0.0792 1946708919.37954
79300 0.0793 1949120745.99281
79400 0.0794 1951436681.22473
79500 0.0795 1953630456.56783
79600 0.0796 1955672605.88837
79700 0.0797 1957541482.74482
79800 0.0798 1959233218.89147
79900 0.0799 1960775116.607
80000 0.08 1962233853.90553
80100 0.0801 1963701107.73473
80200 0.0802 1965258205.97565
80300 0.0803 1966946218.33916
80400 0.0804 1968764467.39058
80500 0.0805 1970693766.36087
80600 0.0806 1972722577.73058
80700 0.0807 1974857791.42423
80800 0.0808 1977116234.3393
80900 0.0809 1979505021.37689
81000 0.081 1982003449.22548
81100 0.0811 1984557310.80912
81200 0.0812 1987090103.62416
81300 0.0813 1989525632.19063
81400 0.0814 1991809400.92604
81500 0.0815 1993919199.33667
81600 0.0816 1995865317.65347
81700 0.0817 1997683745.84996
81800 0.0818 1999420238.48067
81900 0.0819 2001107310.92638
82000 0.082 2002750983.12525
82100 0.0821 2004343325.56034
82200 0.0822 2005891271.67031
82300 0.0823 2007434516.49475
82400 0.0824 2009039524.89597
82500 0.0825 2010778649.09518
82600 0.0826 2012704871.51302
82700 0.0827 2014829004.49111
82800 0.0828 2017113836.09822
82900 0.0829 2019495746.00866
83000 0.083 2021917339.75782
83100 0.0831 2024342075.13962
83200 0.0832 2026747758.90891
83300 0.0833 2029118872.95437
83400 0.0834 2031442146.99506
83500 0.0835 2033693323.62311
83600 0.0836 2035823779.11985
83700 0.0837 2037774702.26859
83800 0.0838 2039517894.3998
83900 0.0839 2041082598.88493
84000 0.084 2042541620.36255
84100 0.0841 2043976416.04215
84200 0.0842 2045452419.36663
84300 0.0843 2047010326.21244
84400 0.0844 2048666218.52724
84500 0.0845 2050421710.47173
84600 0.0846 2052282164.54315
84700 0.0847 2054266748.32912
84800 0.0848 2056399019.84176
84900 0.0849 2058688031.28709
85000 0.085 2061115777.07252
85100 0.0851 2063634249.33424
85200 0.0852 2066168849.17503
85300 0.0853 2068631103.71298
85400 0.0854 2070943978.24474
85500 0.0855 2073069946.09513
85600 0.0856 2075021127.53561
85700 0.0857 2076839284.71197
85800 0.0858 2078558943.35842
